Station Name,Lines Served,Valid for Colours,Zone(s),Times Used (This Game),Currently Locked?,Notes
"Abbesses","12","Green",1,0,No,
"Aéroport d'Orly","14, T7","Purple",1,0,No,
"Aimé Césaire","12","Green",1,0,No,
"Alésia","4","Purple",1,0,No,
"Alexandre Dumas","2","Blue",1,0,No,
"Alma–Marceau","9, RER C","Yellow",1,0,No,
"Anatole France","3","Red",1,0,No,
"Anvers","2","Blue",1,0,No,
"Argentine","1","Yellow",1,0,No,
"Arsenal","5","Orange",1,0,No,
"Arts et Métiers","11, 3","Red / Brown",1,0,No,
"Assemblée Nationale","12","Green",1,0,No,
"Aubervilliers–Pantin–Quatre Chemins","7","Brown",1,0,No,
"Avenue Émile Zola","10","Orange",1,0,No,
"Avron","2","Blue",1,0,No,
"Bagneux–Lucie Aubrac","4","Purple",1,0,No,
"Balard","8, T2, T3a","Black (8-Ball)",1,0,No,
"Barbara","4","Purple",1,0,No,
"Barbès–Rochechouart","2, 4","Blue / Purple",1,0,No,
"Basilique de Saint-Denis","13, T1, T5","Blue",1,0,No,
"Bastille","1, 5, 8","Yellow / Orange / Black (8-Ball)",1,0,No,
"Bel-Air","6","Green",1,0,No,
"Belleville","11, 2","Blue / Brown",1,0,No,
"Bérault","1","Yellow",1,0,No,
"Bercy","14, 6","Green / Purple",1,0,No,
"Bibliothèque François Mitterrand","14, RER C, T3a","Purple / Yellow",1,0,No,
"Billancourt","9","Yellow",1,0,No,
"Bir-Hakeim","6, RER C","Green / Yellow",1,0,No,
"Blanche","2","Blue",1,0,No,
"Bobigny–Pablo Picasso","5, T1","Orange",1,0,No,
"Bobigny–Pantin–Raymond Queneau","5","Orange",1,0,No,
"Boissière","6","Green",1,0,No,
"Bolivar","7bis","Brown",1,0,No,
"Bonne Nouvelle","8, 9","Black (8-Ball) / Yellow",1,0,No,
"Botzaris","7bis","Brown",1,0,No,
"Boucicaut","8","Black (8-Ball)",1,0,No,
"Boulogne–Jean Jaurès","10","Orange",1,0,No,
"Boulogne–Pont de Saint-Cloud","10, T2","Orange",1,0,No,
"Bourse","3","Red",1,0,No,
"Bréguet–Sabin","5","Orange",1,0,No,
"Brochant","13","Blue",1,0,No,
"Buttes Chaumont","7bis","Brown",1,0,No,
"Buzenval","9","Yellow",1,0,No,
"Cadet","7","Brown",1,0,No,
"Cambronne","6","Green",1,0,No,
"Campo Formio","5","Orange",1,0,No,
"Cardinal Lemoine","10","Orange",1,0,No,
"Carrefour Pleyel","13","Blue",1,0,No,
"Censier–Daubenton","7","Brown",1,0,No,
"Champ de Mars","8","Black (8-Ball)",1,0,No,
"Champs-Élysées–Clemenceau","1, 13","Yellow / Blue",1,0,No,
