Station Name,Lines Served,Valid for Colours,Borough
1 Av,L,Black,Manhattan
103 St,"1, 6, B, C","Blue (Stripe), Green (Stripe), Orange (Solid), Red (Solid)",Manhattan
103 St-Corona Plaza,7,"Purple (Solid), Purple (Stripe)",Queens
104 St,"A, J, Z","Blue (Solid), Brown (Solid), Brown (Stripe)",Queens
110 St,6,Green (Stripe),Manhattan
110 St-Malcolm X Plaza,"2, 3","Red (Solid), Red (Stripe)",Manhattan
111 St,"7, A, J","Blue (Solid), Brown (Solid), Purple (Solid), Purple (Stripe)",Queens
116 St,"2, 3, 6, B, C","Blue (Stripe), Green (Stripe), Orange (Solid), Red (Solid), Red (Stripe)",Manhattan
116 St-Columbia University,1,Red (Solid),Manhattan
121 St,"J, Z","Brown (Solid), Brown (Stripe)",Queens
125 St,"1, 2, 3, 4, 5, 6, A, B, C, D","Blue (Solid), Blue (Stripe), Green (Solid), Green (Stripe), Orange (Solid), Red (Solid), Red (Stripe)",Manhattan
135 St,"2, 3, B, C","Blue (Stripe), Orange (Solid), Red (Solid), Red (Stripe)",Manhattan
137 St-City College,1,Red (Solid),Manhattan
138 St-Grand Concourse,"4, 5","Green (Solid), Green (Stripe)",Bronx
14 St,"1, 2, 3, A, C, E, F, M","Blue (Solid), Blue (Stripe), Orange (Stripe), Red (Solid), Red (Stripe)",Manhattan
14 St-Union Sq,"4, 5, 6, L, N, Q, R, W","Black, Green (Solid), Green (Stripe), Yellow (Solid), Yellow (Stripe)",Manhattan
145 St,"1, 3, A, B, C, D","Blue (Solid), Blue (Stripe), Orange (Solid), Red (Solid), Red (Stripe)",Manhattan
149 St-Grand Concourse,"2, 4, 5","Green (Solid), Green (Stripe), Red (Solid)",Bronx
15 St-Prospect Park,"F, G","Black, Orange (Stripe)",Brooklyn
155 St,"B, C, D","Blue (Stripe), Orange (Solid)",Manhattan
157 St,1,Red (Solid),Manhattan
161 St-Yankee Stadium,"4, B, D","Green (Solid), Orange (Solid)",Bronx
163 St-Amsterdam Av,C,Blue (Stripe),Manhattan
167 St,"4, B, D","Green (Solid), Orange (Solid)",Bronx
168 St,"A, C","Blue (Solid), Blue (Stripe)",Manhattan
168 St-Washington Hts,1,Red (Solid),Manhattan
169 St,F,Orange (Stripe),Queens
170 St,"4, B, D","Green (Solid), Orange (Solid)",Bronx
174 St,"2, 5","Green (Stripe), Red (Solid)",Bronx
174-175 Sts,"B, D",Orange (Solid),Bronx
175 St,A,Blue (Solid),Manhattan
176 St,4,Green (Solid),Bronx
18 Av,"D, F, N","Orange (Solid), Orange (Stripe), Yellow (Solid)",Brooklyn
18 St,1,Red (Solid),Manhattan
181 St,"1, A","Blue (Solid), Red (Solid)",Manhattan
182-183 Sts,"B, D",Orange (Solid),Bronx
183 St,4,Green (Solid),Bronx
190 St,A,Blue (Solid),Manhattan
191 St,1,Red (Solid),Manhattan
2 Av,F,Orange (Stripe),Manhattan
20 Av,"D, N","Orange (Solid), Yellow (Solid)",Brooklyn
207 St,1,Red (Solid),Manhattan
21 St,G,Black,Queens
21 St-Queensbridge,M,Orange (Stripe),Queens
215 St,1,Red (Solid),Manhattan
219 St,"2, 5","Green (Stripe), Red (Solid)",Bronx
225 St,"2, 5","Green (Stripe), Red (Solid)",Bronx
23 St,"1, C, E, F, M, R, W","Blue (Stripe), Orange (Stripe), Red (Solid), Yellow (Stripe)",Manhattan
23 St-Baruch College,6,Green (Stripe),Manhattan
231 St,1,Red (Solid),Bronx
233 St,"2, 5","Green (Stripe), Red (Solid)",Bronx
238 St,1,Red (Solid),Bronx
25 Av,D,Orange (Solid),Brooklyn
25 St,R,Yellow (Stripe),Brooklyn
28 St,"1, 6, R, W","Green (Stripe), Red (Solid), Yellow (Stripe)",Manhattan
3 Av,L,Black,Manhattan
3 Av-138 St,6,Green (Stripe),Bronx
3 Av-149 St,"2, 5","Green (Stripe), Red (Solid)",Bronx
30 Av,"N, W","Yellow (Solid), Yellow (Stripe)",Queens
33 St,6,Green (Stripe),Manhattan
33 St-Rawson St,7,"Purple (Solid), Purple (Stripe)",Queens
34 St-Herald Sq,"B, D, F, M, N, Q, R, W","Orange (Solid), Orange (Stripe), Yellow (Solid), Yellow (Stripe)",Manhattan
34 St-Hudson Yards,7,"Purple (Solid), Purple (Stripe)",Manhattan
34 St-Penn Station,"1, 2, 3, A, C, E","Blue (Solid), Blue (Stripe), Red (Solid), Red (Stripe)",Manhattan
36 Av,"N, W","Yellow (Solid), Yellow (Stripe)",Queens
36 St,"D, M, N, R","Orange (Solid), Orange (Stripe), Yellow (Solid), Yellow (Stripe)",Queens
39 Av-Dutch Kills,"N, W","Yellow (Solid), Yellow (Stripe)",Queens
