Station Name,Lines Served,Valid for Colours,Borough,Times Used (This Game),Currently Locked?,Notes
"Shibuya","Ginza, Hanzomon, Fukutoshin","Orange (Solid), Purple (Stripe), Brown (Solid)",Tokyo,0,No,
"Omotesando","Ginza, Chiyoda, Hanzomon","Orange (Solid), Green (Solid), Purple (Stripe)",Tokyo,0,No,
"Gaiemmae","Ginza","Orange (Solid)",Tokyo,0,No,
"Aoyama-itchome","Ginza, Hanzomon, Oedo","Orange (Solid), Purple (Stripe), Red (Stripe)",Tokyo,0,No,
"Akasaka-mitsuke","Ginza, Marunouchi","Orange (Solid), Red (Solid)",Tokyo,0,No,
"Tameike-sanno","Ginza, Namboku","Orange (Solid), Black",Tokyo,0,No,
"Toranomon","Ginza","Orange (Solid)",Tokyo,0,No,
"Shimbashi","Ginza, Asakusa","Orange (Solid), Purple (Solid)",Tokyo,0,No,
"Ginza","Ginza, Marunouchi, Hibiya","Orange (Solid), Red (Solid), Brown (Stripe)",Tokyo,0,No,
"Kyobashi","Ginza","Orange (Solid)",Tokyo,0,No,
"Nihombashi","Ginza, Tozai, Asakusa","Orange (Solid), Blue (Solid), Purple (Solid)",Tokyo,0,No,
"Mitsukoshimae","Ginza, Hanzomon","Orange (Solid), Purple (Stripe)",Tokyo,0,No,
"Kanda","Ginza","Orange (Solid)",Tokyo,0,No,
"Suehirocho","Ginza","Orange (Solid)",Tokyo,0,No,
"Ueno-hirokoji","Ginza","Orange (Solid)",Tokyo,0,No,
"Ueno","Ginza, Hibiya","Orange (Solid), Brown (Stripe)",Tokyo,0,No,
"Inaricho","Ginza","Orange (Solid)",Tokyo,0,No,
"Tawaramachi","Ginza","Orange (Solid)",Tokyo,0,No,
"Asakusa","Ginza, Asakusa","Orange (Solid), Purple (Solid)",Tokyo,0,No,
"Ogikubo","Marunouchi","Red (Solid)",Tokyo,0,No,
"Minami-asagaya","Marunouchi","Red (Solid)",Tokyo,0,No,
"Shin-koenji","Marunouchi","Red (Solid)",Tokyo,0,No,
"Higashi-koenji","Marunouchi","Red (Solid)",Tokyo,0,No,
"Shin-nakano","Marunouchi","Red (Solid)",Tokyo,0,No,
"Nakano-sakaue","Marunouchi, Oedo","Red (Solid), Red (Stripe)",Tokyo,0,No,
"Nishi-shinjuku","Marunouchi","Red (Solid)",Tokyo,0,No,
"Shinjuku","Marunouchi, Shinjuku, Oedo","Red (Solid), Green (Stripe), Red (Stripe)",Tokyo,0,No,
"Shinjuku-sanchome","Marunouchi, Fukutoshin, Shinjuku","Red (Solid), Brown (Solid), Green (Stripe)",Tokyo,0,No,
"Shinjuku-gyoemmae","Marunouchi","Red (Solid)",Tokyo,0,No,
"Yotsuya-sanchome","Marunouchi","Red (Solid)",Tokyo,0,No,
"Yotsuya","Marunouchi, Namboku","Red (Solid), Black",Tokyo,0,No,
"Kokkai-gijidomae","Marunouchi, Chiyoda","Red (Solid), Green (Solid)",Tokyo,0,No,
"Kasumigaseki","Marunouchi, Hibiya, Chiyoda","Red (Solid), Brown (Stripe), Green (Solid)",Tokyo,0,No,
"Tokyo","Marunouchi","Red (Solid)",Tokyo,0,No,
"Otemachi","Marunouchi, Tozai, Chiyoda, Hanzomon, Mita","Red (Solid), Blue (Solid), Green (Solid), Purple (Stripe), Blue (Stripe)",Tokyo,0,No,
"Awajicho","Marunouchi","Red (Solid)",Tokyo,0,No,
