Station Name,Lines Served,Valid for Colours,Zone(s),Times Used (This Game),Currently Locked?,Notes
"Shibuya","Ginza, Hanzomon, Fukutoshin","Yellow, Pink, Brown",1,0,No,
"Omotesando","Ginza, Chiyoda, Hanzomon","Yellow, Green, Pink",1,0,No,
"Gaiemmae","Ginza","Yellow",1,0,No,
"Aoyama-itchome","Ginza, Hanzomon, Oedo","Yellow, Pink, Red",1,0,No,
"Akasaka-mitsuke","Ginza, Marunouchi","Yellow, Red",1,0,No,
"Tameike-sanno","Ginza, Namboku","Yellow, Black",1,0,No,
"Toranomon","Ginza","Yellow",1,0,No,
"Shimbashi","Ginza, Asakusa","Yellow, Pink",1,0,No,
"Ginza","Ginza, Marunouchi, Hibiya","Yellow, Red, Brown",1,0,No,
"Kyobashi","Ginza","Yellow",1,0,No,
"Nihombashi","Ginza, Tozai, Asakusa","Yellow, Blue, Pink",1,0,No,
"Mitsukoshimae","Ginza, Hanzomon","Yellow, Pink",1,0,No,
"Kanda","Ginza","Yellow",1,0,No,
"Suehirocho","Ginza","Yellow",1,0,No,
"Ueno-hirokoji","Ginza","Yellow",1,0,No,
"Ueno","Ginza, Hibiya","Yellow, Brown",1,0,No,
"Inaricho","Ginza","Yellow",1,0,No,
"Tawaramachi","Ginza","Yellow",1,0,No,
"Asakusa","Ginza, Asakusa","Yellow, Pink",1,0,No,
"Ogikubo","Marunouchi","Red",1,0,No,
"Minami-asagaya","Marunouchi","Red",1,0,No,
"Shin-koenji","Marunouchi","Red",1,0,No,
"Higashi-koenji","Marunouchi","Red",1,0,No,
"Shin-nakano","Marunouchi","Red",1,0,No,
"Nakano-sakaue","Marunouchi, Oedo","Red",1,0,No,
"Nishi-shinjuku","Marunouchi","Red",1,0,No,
"Shinjuku","Marunouchi, Shinjuku, Oedo","Red, Green",1,0,No,
"Shinjuku-sanchome","Marunouchi, Fukutoshin, Shinjuku","Red, Brown, Green",1,0,No,
"Shinjuku-gyoemmae","Marunouchi","Red",1,0,No,
"Yotsuya-sanchome","Marunouchi","Red",1,0,No,
"Yotsuya","Marunouchi, Namboku","Red, Black",1,0,No,
"Kokkai-gijidomae","Marunouchi, Chiyoda","Red, Green",1,0,No,
"Kasumigaseki","Marunouchi, Hibiya, Chiyoda","Red, Brown, Green",1,0,No,
"Tokyo","Marunouchi","Red",1,0,No,
"Otemachi","Marunouchi, Tozai, Chiyoda, Hanzomon, Mita","Red, Blue, Green, Pink",1,0,No,
"Awajicho","Marunouchi","Red",1,0,No,
"Ochanomizu","Marunouchi","Red",1,0,No,
"Hongo-sanchome","Marunouchi, Oedo","Red",1,0,No,
"Korakuen","Marunouchi, Namboku","Red, Black",1,0,No,
"Myogadani","Marunouchi","Red",1,0,No,
"Shin-otsuka","Marunouchi","Red",1,0,No,
"Ikebukuro","Marunouchi, Yurakucho, Fukutoshin","Red, Yellow, Brown",1,0,No,
"Naka-meguro","Hibiya","Brown",1,0,No,
"Ebisu","Hibiya","Brown",1,0,No,
"Hiroo","Hibiya","Brown",1,0,No,
"Roppongi","Hibiya, Oedo","Brown, Red",1,0,No,
"Kamiyacho","Hibiya","Brown",1,0,No,
"Toranomon-hills","Hibiya","Brown",1,0,No,
"Hibiya","Hibiya, Chiyoda, Mita","Brown, Green, Blue",1,0,No,
"Higashi-ginza","Hibiya, Asakusa","Brown, Pink",1,0,No,
"Tsukiji","Hibiya","Brown",1,0,No,
"Hatchobori","Hibiya","Brown",1,0,No,
"Kayabacho","Hibiya, Tozai","Brown, Blue",1,0,No,
"Ningyocho","Hibiya, Asakusa","Brown, Pink",1,0,No,
"Kodemmacho","Hibiya","Brown",1,0,No,
"Akihabara","Hibiya","Brown",1,0,No,
"Naka-okachimachi","Hibiya","Brown",1,0,No,
"Iriya","Hibiya","Brown",1,0,No,
"Minowa","Hibiya","Brown",1,0,No,
"Minami-senju","Hibiya","Brown",1,0,No,
"Kita-senju","Hibiya, Chiyoda","Brown, Green",1,0,No,
"Nakano","Tozai","Blue",1,0,No,
"Ochiai","Tozai","Blue",1,0,No,
"Takadanobaba","Tozai","Blue",1,0,No,
"Waseda","Tozai","Blue",1,0,No,
"Kagurazaka","Tozai","Blue",1,0,No,
"Iidabashi","Tozai, Yurakucho, Namboku, Oedo","Blue, Yellow, Black, Red",1,0,No,
"Kudanshita","Tozai, Hanzomon, Shinjuku","Blue, Pink, Green",1,0,No,
"Takebashi","Tozai","Blue",1,0,No,
"Monzen-nakacho","Tozai, Oedo","Blue, Red",1,0,No,
"Kiba","Tozai","Blue",1,0,No,
"Toyocho","Tozai","Blue",1,0,No,
"Minami-sunamachi","Tozai","Blue",1,0,No,
"Nishi-kasai","Tozai","Blue",1,0,No,
"Kasai","Tozai","Blue",1,0,No,
"Urayasu","Tozai","Blue",1,0,No,
"Minami-gyotoku","Tozai","Blue",1,0,No,
"Gyotoku","Tozai","Blue",1,0,No,
"Myoden","Tozai","Blue",1,0,No,
"Baraki-nakayama","Tozai","Blue",1,0,No,
"Nishi-funabashi","Tozai","Blue",1,0,No,
"Yoyogi-uehara","Chiyoda","Green",1,0,No,
"Yoyogi-koen","Chiyoda","Green",1,0,No,
"Meiji-jingumae","Chiyoda, Fukutoshin","Green, Brown",1,0,No,
"Nogizaka","Chiyoda","Green",1,0,No,
"Akasaka","Chiyoda","Green",1,0,No,
"Nijubashimae","Chiyoda","Green",1,0,No,
"Shin-ochanomizu","Chiyoda","Green",1,0,No,
"Yushima","Chiyoda","Green",1,0,No,
"Nezu","Chiyoda","Green",1,0,No,
"Sendagi","Chiyoda","Green",1,0,No,
"Nishi-nippori","Chiyoda","Green",1,0,No,
"Machiya","Chiyoda","Green",1,0,No,
"Ayase","Chiyoda","Green",1,0,No,
"Kita-ayase","Chiyoda","Green",1,0,No,
"Wakoshi","Yurakucho, Fukutoshin","Yellow, Brown",1,0,No,
"Chikatetsu-narimasu","Yurakucho, Fukutoshin","Yellow, Brown",1,0,No,
"Chikatetsu-akatsuka","Yurakucho, Fukutoshin","Yellow, Brown",1,0,No,
"Heiwadai","Yurakucho, Fukutoshin","Yellow, Brown",1,0,No,
"Hikawadai","Yurakucho, Fukutoshin","Yellow, Brown",1,0,No,
"Kotake-mukaihara","Yurakucho, Fukutoshin","Yellow, Brown",1,0,No,
"Senkawa","Yurakucho, Fukutoshin","Yellow, Brown",1,0,No,
"Kanamecho","Yurakucho, Fukutoshin","Yellow, Brown",1,0,No,
"Higashi-ikebukuro","Yurakucho","Yellow",1,0,No,
"Gokokuji","Yurakucho","Yellow",1,0,No,
"Edogawabashi","Yurakucho","Yellow",1,0,No,
"Ichigaya","Yurakucho, Namboku, Shinjuku","Yellow, Black, Green",1,0,No,
"Kojimachi","Yurakucho","Yellow",1,0,No,
"Nagatacho","Yurakucho, Hanzomon, Namboku","Yellow, Pink, Black",1,0,No,
"Sakuradamon","Yurakucho","Yellow",1,0,No,
"Yurakucho","Yurakucho","Yellow",1,0,No,
"Ginza-itchome","Yurakucho","Yellow",1,0,No,
"Shintomicho","Yurakucho","Yellow",1,0,No,
"Tsukishima","Yurakucho, Oedo","Yellow, Red",1,0,No,
"Toyosu","Yurakucho","Yellow",1,0,No,
"Tatsumi","Yurakucho","Yellow",1,0,No,
"Shin-kiba","Yurakucho","Yellow",1,0,No,
"Jimbocho","Hanzomon, Mita, Shinjuku","Pink, Blue, Green",1,0,No,
"Suitengumae","Hanzomon","Pink",1,0,No,
"Kiyosumi-shirakawa","Hanzomon, Oedo","Pink, Red",1,0,No,
"Sumiyoshi","Hanzomon, Shinjuku","Pink, Green",1,0,No,
"Kinshicho","Hanzomon","Pink",1,0,No,
"Oshiage","Hanzomon, Asakusa","Pink",1,0,No,
"Meguro","Namboku, Mita","Black, Blue",1,0,No,
"Shirokanedai","Namboku, Mita","Black, Blue",1,0,No,
"Shirokane-takanawa","Namboku, Mita","Black, Blue",1,0,No,
"Azabu-juban","Namboku, Oedo","Black, Red",1,0,No,
"Roppongi-itchome","Namboku","Black",1,0,No,
"Todaimae","Namboku","Black",1,0,No,
"Hon-komagome","Namboku","Black",1,0,No,
"Komagome","Namboku","Black",1,0,No,
"Nishigahara","Namboku","Black",1,0,No,
"Oji","Namboku","Black",1,0,No,
"Oji-kamiya","Namboku","Black",1,0,No,
"Shimo","Namboku","Black",1,0,No,
"Akabane-iwabuchi","Namboku","Black",1,0,No,
"Zoshigaya","Fukutoshin","Brown",1,0,No,
"Nishi-waseda","Fukutoshin","Brown",1,0,No,
"Higashi-shinjuku","Fukutoshin, Oedo","Brown, Red",1,0,No,
"Kita-sando","Fukutoshin","Brown",1,0,No,
"Nishi-magome","Asakusa","Pink",1,0,No,
"Magome","Asakusa","Pink",1,0,No,
"Nakanobu","Asakusa","Pink",1,0,No,
"Togoshi","Asakusa","Pink",1,0,No,
"Gotanda","Asakusa","Pink",1,0,No,
"Osaki-hirokoji","Asakusa","Pink",1,0,No,
"Sengakuji","Asakusa","Pink",1,0,No,
"Mita","Asakusa, Mita","Pink, Blue",1,0,No,
"Shibakoen","Mita","Blue",1,0,No,
"Daimon","Asakusa, Oedo","Pink, Red",1,0,No,
"Takaracho","Asakusa","Pink",1,0,No,
"Higashi-nihombashi","Asakusa","Pink",1,0,No,
"Asakusabashi","Asakusa","Pink",1,0,No,
"Kuramae","Asakusa, Oedo","Pink, Red",1,0,No,
"Honjo-azumabashi","Asakusa","Pink",1,0,No,
"Onarimon","Mita","Blue",1,0,No,
"Uchisaiwaicho","Mita","Blue",1,0,No,
"Suidobashi","Mita","Blue",1,0,No,
"Kasuga","Mita, Oedo","Blue, Red",1,0,No,
"Hakusan","Mita","Blue",1,0,No,
"Sengoku","Mita","Blue",1,0,No,
"Sugamo","Mita","Blue",1,0,No,
"Nishi-sugamo","Mita","Blue",1,0,No,
"Shin-itabashi","Mita","Blue",1,0,No,
"Itabashi-kuyakushomae","Mita","Blue",1,0,No,
"Itabashi-honcho","Mita","Blue",1,0,No,
"Moto-hasunuma","Mita","Blue",1,0,No,
"Shimura-sakaue","Mita","Blue",1,0,No,
"Shimura-sanchome","Mita","Blue",1,0,No,
"Hasune","Mita","Blue",1,0,No,
"Nishidai","Mita","Blue",1,0,No,
"Takashimadaira","Mita","Blue",1,0,No,
"Shin-takashimadaira","Mita","Blue",1,0,No,
"Nishi-takashimadaira","Mita","Blue",1,0,No,
"Akebonobashi","Shinjuku","Green",1,0,No,
"Ogawamachi","Shinjuku","Green",1,0,No,
"Iwamotocho","Shinjuku","Green",1,0,No,
"Bakuro-yokoyama","Shinjuku","Green",1,0,No,
"Hamacho","Shinjuku","Green",1,0,No,
"Morishita","Shinjuku, Oedo","Green, Red",1,0,No,
"Kikukawa","Shinjuku","Green",1,0,No,
"Nishi-ojima","Shinjuku","Green",1,0,No,
"Ojima","Shinjuku","Green",1,0,No,
"Higashi-ojima","Shinjuku","Green",1,0,No,
"Funabori","Shinjuku","Green",1,0,No,
"Ichinoe","Shinjuku","Green",1,0,No,
"Mizue","Shinjuku","Green",1,0,No,
"Shinozaki","Shinjuku","Green",1,0,No,
"Motoyawata","Shinjuku","Green",1,0,No,
"Hikarigaoka","Oedo","Red",1,0,No,
"Nerima-kasugacho","Oedo","Red",1,0,No,
"Toshimaen","Oedo","Red",1,0,No,
"Nerima","Oedo","Red",1,0,No,
"Shin-egota","Oedo","Red",1,0,No,
"Ochiai-minami-nagasaki","Oedo","Red",1,0,No,
"Nakai","Oedo","Red",1,0,No,
"Higashi-nakano","Oedo","Red",1,0,No,
"Nishi-shinjuku-gochome","Oedo","Red",1,0,No,
"Tochomae","Oedo","Red",1,0,No,
"Shinjuku-nishiguchi","Oedo","Red",1,0,No,
"Wakamatsu-kawada","Oedo","Red",1,0,No,
"Ushigome-yanagicho","Oedo","Red",1,0,No,
"Ushigome-kagurazaka","Oedo","Red",1,0,No,
"Ueno-okachimachi","Oedo","Red",1,0,No,
"Shin-okachimachi","Oedo","Red",1,0,No,
"Ryogoku","Oedo","Red",1,0,No,
"Kachidoki","Oedo","Red",1,0,No,
"Tsukijishijo","Oedo","Red",1,0,No,
"Shiodome","Oedo","Red",1,0,No,
"Akabanebashi","Oedo","Red",1,0,No,
"Kokuritsu-kyogijo","Oedo","Red",1,0,No,
"Yoyogi","Oedo","Red",1,0,No,
